"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","인천광역시 미추홀구 주안동","1621","1621","0000","관교한신휴플러스","월세","84.7488","202412","31","18,658","22","4","2010","경원대로 717","202504~202703","신규","-","","","아파트"
"2","인천광역시 미추홀구 도화동","1004","1004","0000","e편한세상도화5단지","월세","84.9100","202412","31","13,662","38","11","2018","숙골로112번길 11","202502~202702","갱신","-","13,662","38","아파트"
"3","인천광역시 미추홀구 주안동","20-11","0020","0011","삼영(1,2동)","월세","66.6700","202412","31","1,000","40","5","1978","염창로 129","202501~202601","신규","-","","","아파트"
"4","인천광역시 미추홀구 숭의동","170-12","0170","0012","대호","전세","82.6100","202412","30","6,500","0","2","1971","독배로462번길 55","202501~202701","신규","-","","","아파트"
"5","인천광역시 미추홀구 도화동","1004","1004","0000","e편한세상도화5단지","월세","84.9100","202412","30","13,662","38","28","2018","숙골로112번길 11","202502~202702","갱신","-","13,662","38","아파트"
"6","인천광역시 미추홀구 도화동","1004","1004","0000","e편한세상도화5단지","월세","84.9100","202412","30","10,828","42","2","2018","숙골로112번길 11","202501~202701","갱신","-","10,828","42","아파트"
"7","인천광역시 미추홀구 도화동","601-1","0601","0001","동아","전세","84.9500","202412","30","21,000","0","4","1992","경인로 203-12","202502~202702","신규","-","","","아파트"
"8","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","84.9353","202412","28","37,000","0","19","2020","숙골로88번길 12","202502~202702","신규","-","","","아파트"
"9","인천광역시 미추홀구 학익동","744-1","0744","0001","힐스테이트학익","월세","73.9585","202412","28","3,000","130","24","2021","독배로251번길 24","202502~202702","신규","-","","","아파트"
"10","인천광역시 미추홀구 학익동","가-","0000","0000","시티오씨엘4단지","월세","84.8700","202412","28","3,000","150","2","2025","학익로 30","202502~202702","신규","-","","","아파트"
"11","인천광역시 미추홀구 용현동","664","0664","0000","인천 SK Sky VIEW","전세","84.9974","202412","28","37,000","0","8","2016","용정공원로 33","202502~202702","신규","-","","","아파트"
"12","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","84.9823","202412","28","35,000","0","24","2020","숙골로88번길 12","202502~202701","갱신","-","35,000","0","아파트"
"13","인천광역시 미추홀구 주안동","1250","1250","0000","쌍용주안","전세","83.3700","202412","28","15,000","0","11","1984","인하로 292","202501~202701","신규","-","","","아파트"
"14","인천광역시 미추홀구 관교동","13-9","0013","0009","성지","전세","84.9450","202412","28","24,000","0","7","1991","문화로 35","-","-","-","","","아파트"
